run_dir,method,method_label,use_lilac_metadata_only,apply_thresholds,use_context_constraints,use_adjust_speed,use_soft_to_hard,raw_context,canonical_context,threshold_patch,tau_violation,tau_near_miss,action_space,algo,episodes,r_mean,r_std,l_mean,l_std,violation_count_mean,violation_count_std,near_miss_count_mean,near_miss_count_std,shield_count_mean,shield_count_std,action_correction_mean_mean,action_correction_mean_std,reward_penalty_sum_mean,reward_penalty_sum_std
runs\debug_baseline_sac,baseline_sac,baseline_sac,,False,False,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",,,,"Box(-1.0, 1.0, (2,), float32)",SAC,11.0,158.94911154545454,58.04362278237613,175.72727272727272,60.80804372628823,155.27272727272728,53.90749652708964,1.8181818181818181,1.1677484162422844,0.0,0.0,0.0,0.0,0.0,0.0
runs\debug_lilac_none,lilac_none,lilac_none,,False,False,False,False,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",,,,"Box(-1.0, 1.0, (2,), float32)",SAC,10.0,162.00472249999999,59.34773376972037,180.2,62.61309767133391,161.5,56.24796292607701,3.0,2.494438257849294,0.0,0.0,0.0,0.0,0.0,0.0
