run_dir,method,seed,raw_context,canonical_context,apply_thresholds,threshold_patch,resolved_context,tau_violation,tau_near_miss,episodes,r_mean,r_std,l_mean,l_std,violation_count_mean,violation_count_std,near_miss_count_mean,near_miss_count_std,shield_count_mean,shield_count_std,action_correction_mean_mean,action_correction_mean_std,reward_penalty_sum_mean,reward_penalty_sum_std
runs\pilot_full_seen_s0_patched,full,0,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",True,artifacts/calibration/recommended_thresholds_patch.json,"['low', 'calm', 'clean']",2.008065402507782,2.624544671177862,32.0,55.74919975,113.69894063549881,89.8125,72.75430926157593,17.0625,14.045863815464703,5.5625,4.634634689992019,17.0625,14.045863815464703,0.666326322545886,0.11083209001374292,2.7141421588975945,2.0218554518120566
runs\pilot_full_unseen_s0_patched,full,0,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",True,artifacts/calibration/recommended_thresholds_patch.json,"['high', 'aggr', 'noisy']",2.0,8.0,86.0,54.56722516279069,37.28907935048394,114.29069767441861,77.4008460630259,21.825581395348838,14.754613922802042,0.0,0.0,21.825581395348838,14.754613922802042,0.6751119115857694,0.0976602455740999,2.80917304676286,1.7684285032628217
