method,p_stay,near_miss_rate_mean,near_miss_rate_std,violation_rate_mean,violation_rate_std,shield_used_rate_mean,shield_used_rate_std,clearance_min_mean,clearance_min_std,clearance_mean_mean,clearance_mean_std,n_runs
baseline,0.5,0.1075,0.0012727922061357827,0.041999999999999996,0.004525483399593899,0.0,0.0,-31.43098163604735,1.9746657648714543,611.6311753848706,4.954620956385715,2
cpss_only,0.5,0.0996,0.0042426406871192745,0.055900000000000005,0.002969848480983499,0.0235,0.0009899494936611655,-13.572685241699219,0.02344578606442759,597.3370699932735,3.764952225414483,2
lilac_only,0.5,0.1075,0.0012727922061357827,0.041999999999999996,0.004525483399593899,0.0,0.0,-31.43098163604735,1.9746657648714543,611.6311753848706,4.954620956385715,2
full,0.5,0.1012,0.007071067811865481,0.0538,0.0,0.0598,0.0014142135623730963,-13.572685241699219,0.02344578606442759,610.4380948380604,3.047758428173476,2
baseline,0.95,0.10389999999999999,0.0009899494936611605,0.0424,0.0016970562748477136,0.0,0.0,-25.83700332641603,0.5515699396207354,608.6841443476494,6.809935928922583,2
cpss_only,0.95,0.09570000000000001,0.00014142135623729883,0.0563,0.00494974746830583,0.023,0.0011313708498984778,-13.341248512268066,0.10703411342953859,601.753690141094,2.9107594811911737,2
lilac_only,0.95,0.10389999999999999,0.0009899494936611605,0.0424,0.0016970562748477136,0.0,0.0,-25.83700332641603,0.5515699396207354,608.6841443476494,6.809935928922583,2
full,0.95,0.0987,0.0012727922061357827,0.0533,0.003252691193458116,0.0587,0.0004242640687119284,-13.341248512268066,0.10703411342953859,616.4781982004483,8.624496163835435,2
