switch_id,switch_step,steps_since_switch,near_miss,violation,shield_used,clearance,tag,mode,algo,env,method,p_stay,seed,run_name
3,308,3,1,0,0,40.16173067092897,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
3,308,4,1,0,0,55.31731386184692,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
3,308,5,0,0,0,89.42550725936889,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
3,308,6,0,0,0,119.65317525863648,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
3,308,7,0,0,0,132.29721879959106,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
3,308,8,0,0,0,154.42772970199587,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
3,308,9,0,0,0,173.72418909072874,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
4,368,0,0,1,0,-17.39879608154299,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
4,368,1,0,1,0,-7.304193210601824,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
4,368,2,0,1,0,37.02579498291016,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
4,368,3,1,0,0,53.53804130554199,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
4,368,4,1,0,0,88.88998947143554,grid16,continuous,sac,highway_v0,baseline,0.5,0,grid16__continuous__sac__highway_v0__baseline__pstay_0p5__seed_0
