method,p_stay,post_switch_near_miss_rate_mean,post_switch_near_miss_rate_std,post_switch_violation_rate_mean,post_switch_violation_rate_std,post_switch_shield_used_rate_mean,post_switch_shield_used_rate_std,n_runs
baseline,0.5,0.5620294599018003,0.01157294240894518,0.24126432078559734,0.004195191623242617,0.0,0.0,2
cpss_only,0.5,0.5264320785597382,0.004744906387667514,0.33175122749590835,0.01226731895348182,0.139443535188216,0.0013887530890734359,2
lilac_only,0.5,0.5620294599018003,0.01157294240894518,0.24126432078559734,0.004195191623242617,0.0,0.0,2
full,0.5,0.54120294599018,0.03419804481843284,0.31908756137479544,0.0029221679582586537,0.3571603927986906,0.01163080712098984,2
baseline,0.95,0.5366666666666666,0.004714045207910308,0.27666666666666667,0.08013876853447537,0.0,0.0,2
cpss_only,0.95,0.44,0.056568542494923775,0.3133333333333333,0.07542472332656501,0.11666666666666665,0.02357022603955156,2
lilac_only,0.95,0.5366666666666666,0.004714045207910308,0.27666666666666667,0.08013876853447537,0.0,0.0,2
full,0.95,0.5166666666666666,0.02357022603955162,0.33666666666666667,0.004714045207910347,0.3833333333333333,0.023570226039551657,2
