ctx_id,ctx_tuple,rows,clearance_min,clearance_mean,clearance_median,clearance_max,current_tau_violation_mean,current_tau_near_miss_mean,current_violation_rate,current_near_miss_rate,q01,q02,q05,q10,q15,q20,q25,q50
6,"('low', 'aggr', 'clean')",60,-11.098081588745115,636.4899520704058,549.4976749420167,1424.9558420295716,7.5,11.5,0.016666666666666666,0.0,6.799717540740966,22.240430221557617,52.95311737060547,113.21946481704714,140.7871770000458,235.02919824600227,290.2216067790985,549.4976749420167
9,"('med', 'calm', 'clean')",60,-10.364513397216797,712.008675643603,726.3717334747315,1444.814208984375,7.5,11.5,0.016666666666666666,0.0,6.7309360122680655,21.418811950683594,48.018304824829094,115.66262493133544,212.64479846000677,313.84507966995244,377.4178093910218,726.3717334747315
10,"('med', 'calm', 'noisy')",120,-11.74941062927246,566.7877088757197,589.3210757484435,1153.237252807617,8.0,12.0,0.016666666666666666,0.0,-4.374901924133302,17.08108787536621,37.873133468627934,105.43207166671755,174.26422472000118,235.94969586791987,271.7256250114441,589.3210757484435
12,"('med', 'normal', 'clean')",120,-13.416933059692385,558.5048385953797,569.6731674957275,1193.9149921417234,8.25,12.25,0.016666666666666666,0.0,-4.837585086822511,14.910390930175781,32.07932141304016,62.14296382904059,88.58502848148342,144.1961920928955,225.31000175476078,569.6731674957275
14,"('med', 'normal', 'dropout')",120,-9.80088233947754,674.0544766005199,695.2224870204925,1350.2279981613158,9.25,13.25,0.016666666666666666,0.0,-4.558733215332032,18.164250717163085,40.72156829833985,133.09936510086064,221.5721397781371,300.4045246124268,342.61942019462595,695.2224870204925
16,"('med', 'aggr', 'noisy')",120,-11.742799758911133,611.3559160370338,629.4784024047851,1257.5014802156236,9.5,13.5,0.016666666666666666,0.0,-4.861587600708009,17.07381065368652,45.442599105834965,97.92248987197875,168.942834663391,226.38681262969973,303.58959012031556,629.4784024047851
