method,regime,num_seeds,r_mean_mean_over_seeds,r_mean_std_over_seeds,l_mean_mean_over_seeds,l_mean_std_over_seeds,violation_count_mean_mean_over_seeds,violation_count_mean_std_over_seeds,near_miss_count_mean_mean_over_seeds,near_miss_count_mean_std_over_seeds,shield_count_mean_mean_over_seeds,shield_count_mean_std_over_seeds,action_correction_mean_mean_mean_over_seeds,action_correction_mean_mean_std_over_seeds,reward_penalty_sum_mean_mean_over_seeds,reward_penalty_sum_mean_std_over_seeds,episodes_mean_over_seeds,episodes_std_over_seeds
baseline_sac,nonstationary_seen,3,187.59975258929012,4.542311448279603,182.9243428677391,4.794252820278613,166.52803609784743,0.17666155156836283,8.93765909992325,1.2283861399632006,0.0,0.0,0.0,0.0,0.0,0.0,109.0,2.6457513110645907
baseline_sac,nonstationary_unseen,3,187.1231064787677,2.199362990632397,185.515180512258,1.927513560375039,163.08377727339646,0.9969997893743292,5.5059673741127275,0.7079456810439134,0.0,0.0,0.0,0.0,0.0,0.0,107.33333333333333,1.5275252316519468
baseline_sac,stationary,3,193.52764243650367,6.2361191902797035,190.07674098046266,4.720355941649167,173.6794318590435,7.509940424159493,11.129240081505456,6.45751851399281,0.0,0.0,0.0,0.0,0.0,0.0,104.66666666666667,2.8867513459481287
lilac_none,nonstationary_seen,3,189.85001127069552,7.904543066738901,187.423587375827,7.163348945535273,168.92623406821107,8.592317414388562,12.304789363927696,1.420264994771114,0.0,0.0,0.0,0.0,0.0,0.0,106.33333333333333,3.7859388972001824
lilac_none,nonstationary_unseen,3,186.81335123555516,2.356563835253604,186.87062834303183,1.3951156497241313,163.2492505730912,5.038121318384682,8.056339269970023,6.25691582754228,0.0,0.0,0.0,0.0,0.0,0.0,106.66666666666667,0.5773502691896257
lilac_none,stationary,3,175.45362977155068,31.289882459848666,186.2426434676435,7.256086882078246,160.2616758241758,8.391012295891764,3.69981684981685,0.31826141497436067,0.0,0.0,0.0,0.0,0.0,0.0,107.0,4.358898943540674
