method,regime,num_seeds,tau_violation_mean_over_seeds,tau_violation_std_over_seeds,tau_near_miss_mean_over_seeds,tau_near_miss_std_over_seeds,episodes_mean_over_seeds,episodes_std_over_seeds,r_mean_mean_over_seeds,r_mean_std_over_seeds,l_mean_mean_over_seeds,l_mean_std_over_seeds,violation_count_mean_mean_over_seeds,violation_count_mean_std_over_seeds,near_miss_count_mean_mean_over_seeds,near_miss_count_mean_std_over_seeds,shield_count_mean_mean_over_seeds,shield_count_mean_std_over_seeds,action_correction_mean_mean_mean_over_seeds,action_correction_mean_mean_std_over_seeds,reward_penalty_sum_mean_mean_over_seeds,reward_penalty_sum_mean_std_over_seeds
adjust_speed,seen,3,1.9799491167068484,0.0,2.6755370706319845,0.0,110.66666666666667,2.5166114784235836,151.04658892388184,10.55482342245145,179.8094193013072,3.9469001205086323,57.54254549534786,5.059546998586156,27.12818423142907,3.8002979796056606,0.0,0.0,0.4279528549856104,0.030879533933608653,15.296735793792363,2.2322380065570977
adjust_speed,unseen,3,1.9607515096664432,0.0,2.7071417212486266,5.438959822042073e-16,106.0,2.0,162.12109481345976,6.720340705123818,187.6294168503288,3.052620053129038,58.51665501979968,6.974280935907798,23.377676539626226,4.388111260742569,0.0,0.0,0.39903072013485213,0.01080545720026691,14.811438113204815,2.8612382015221387
baseline,seen,3,,,,,104.66666666666667,2.8867513459481287,193.52764243650367,6.2361191902797035,190.07674098046266,4.720355941649167,173.6794318590435,7.509940424159493,11.129240081505456,6.45751851399281,0.0,0.0,0.0,0.0,0.0,0.0
baseline,unseen,3,,,,,104.66666666666667,2.8867513459481287,193.52764243650367,6.2361191902797035,190.07674098046266,4.720355941649167,173.6794318590435,7.509940424159493,11.129240081505456,6.45751851399281,0.0,0.0,0.0,0.0,0.0,0.0
context,seen,3,1.9799491167068484,0.0,2.6755370706319845,0.0,103.33333333333333,2.5166114784235836,170.4850195253933,3.5865317474901715,192.33659255282555,4.251206039092333,65.8064237638272,2.115110325107511,34.810594367735,0.6400092501459682,0.0,0.0,0.0,0.0,22.3757038249755,0.33056992750172337
context,unseen,3,1.9607515096664432,0.0,2.7071417212486266,5.438959822042073e-16,105.33333333333333,2.5166114784235836,166.553877458005,4.121555450150054,189.29120734234002,5.169953344082736,69.44214397013751,3.1058300082911376,34.02662368795055,1.726455395939246,0.0,0.0,0.0,0.0,22.475016316221726,0.5402792430805965
full,seen,3,1.9799491167068484,0.0,2.6755370706319845,0.0,147.0,7.211102550927978,68.09329742854551,4.533035251861342,135.66637424824538,6.514006753645832,25.736468942376217,1.616276972261711,7.531752380501582,1.1442840918205877,25.736468942376217,1.616276972261711,0.5940009866872401,0.02244860958223975,3.7158738901570447,0.3022573666807793
full,unseen,3,1.9607515096664432,0.0,2.7071417212486266,5.438959822042073e-16,140.33333333333334,7.571877794400365,70.2776253578862,3.9512663088656783,141.9718045810797,7.074201175572014,28.128527148942243,2.359906571755791,7.674142294942765,0.9375951605312347,28.128527148942243,2.359906571755791,0.5783045339129247,0.021402181173227446,4.014373329602649,0.18522085215592587
