run_dir,method,regime,seed,raw_context,canonical_context,threshold_patch,tau_violation,tau_near_miss,episodes,r_mean,r_std,l_mean,l_std,violation_count_mean,violation_count_std,near_miss_count_mean,near_miss_count_std,shield_count_mean,shield_count_std,action_correction_mean_mean,action_correction_mean_std,reward_penalty_sum_mean,reward_penalty_sum_std
runs\compact_adjust_speed_seen_s0,adjust_speed,seen,0,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",artifacts\calibration\recommended_thresholds_patch.json,1.9799491167068484,2.6755370706319845,108.0,162.45521558333334,59.42517319407957,184.17592592592592,46.2162387417422,57.2962962962963,31.89886449778168,26.62962962962963,22.960996018886046,0.0,0.0,0.40455095395736357,0.23324259865104405,15.554939502182375,20.035331369874445
runs\compact_adjust_speed_seen_s1,adjust_speed,seen,1,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",artifacts\calibration\recommended_thresholds_patch.json,1.9799491167068484,2.6755370706319845,111.0,149.0553236396396,58.84818334438748,178.75675675675674,48.52819540623522,62.72072072072072,34.601411209048365,31.153153153153152,28.97905143004894,0.0,0.0,0.41635554618374643,0.20308390668249815,17.388643766601334,19.905303203711338
runs\compact_adjust_speed_seen_s2,adjust_speed,seen,2,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",artifacts\calibration\recommended_thresholds_patch.json,1.9799491167068484,2.6755370706319845,113.0,141.62922754867256,65.45233535146286,176.49557522123894,53.76272671487144,52.610619469026545,29.695307959194555,23.601769911504423,25.060120504430675,0.0,0.0,0.4629520648157212,0.13657461775858576,12.946624112593378,18.993512023438264
runs\compact_adjust_speed_unseen_s0,adjust_speed,unseen,0,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",artifacts\calibration\recommended_thresholds_patch.json,1.9607515096664432,2.707141721248626,104.0,169.3943419326923,51.32672745877789,190.83653846153845,34.23309889195075,66.0,25.43600383830243,28.115384615384617,24.20836238904591,0.0,0.0,0.39404974419069505,0.18283588501738252,17.59353214179381,27.668065467267187
runs\compact_adjust_speed_unseen_s1,adjust_speed,unseen,1,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",artifacts\calibration\recommended_thresholds_patch.json,1.9607515096664432,2.707141721248626,108.0,160.82709509259257,60.07715260624873,184.75925925925927,42.43871235073268,57.351851851851855,30.347616825805027,22.564814814814813,26.793524516945364,0.0,0.0,0.4114282921526828,0.1857052355318856,14.963650201561826,27.773442503606883
runs\compact_adjust_speed_unseen_s2,adjust_speed,unseen,2,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",artifacts\calibration\recommended_thresholds_patch.json,1.9607515096664432,2.707141721248626,106.0,156.14184741509436,63.421124898921086,187.29245283018867,40.18527732797578,52.198113207547166,23.645162522000643,19.452830188679247,18.819509672005243,0.0,0.0,0.3916141240611785,0.2077721022729227,11.877131996258809,15.274360058032313
runs\compact_baseline_seen_s0,baseline,seen,0,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",,,,103.0,197.8197158446602,36.145526494565296,193.29126213592232,31.87863968238353,180.46601941747574,30.830598352674457,18.58252427184466,21.939097641659913,0.0,0.0,0.0,0.0,0.0,0.0
runs\compact_baseline_seen_s1,baseline,seen,1,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",,,,103.0,196.38887664077672,37.91394189177549,192.28155339805826,32.70018812553912,174.96116504854368,30.629641650678227,7.592233009708738,15.722742921156666,0.0,0.0,0.0,0.0,0.0,0.0
runs\compact_baseline_seen_s2,baseline,seen,2,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",,,,108.0,186.37433482407408,55.4902538525873,184.65740740740742,48.782975818047866,165.61111111111111,44.29675487224587,7.212962962962963,8.544606350257363,0.0,0.0,0.0,0.0,0.0,0.0
runs\compact_baseline_unseen_s0,baseline,unseen,0,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",,,,103.0,197.8197158446602,36.145526494565296,193.29126213592232,31.87863968238353,180.46601941747574,30.830598352674457,18.58252427184466,21.939097641659913,0.0,0.0,0.0,0.0,0.0,0.0
runs\compact_baseline_unseen_s1,baseline,unseen,1,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",,,,103.0,196.38887664077672,37.91394189177549,192.28155339805826,32.70018812553912,174.96116504854368,30.629641650678227,7.592233009708738,15.722742921156666,0.0,0.0,0.0,0.0,0.0,0.0
runs\compact_baseline_unseen_s2,baseline,unseen,2,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",,,,108.0,186.37433482407408,55.4902538525873,184.65740740740742,48.782975818047866,165.61111111111111,44.29675487224587,7.212962962962963,8.544606350257363,0.0,0.0,0.0,0.0,0.0,0.0
runs\compact_context_seen_s0,context,seen,0,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",artifacts\calibration\recommended_thresholds_patch.json,1.9799491167068484,2.6755370706319845,103.0,169.70460990291264,57.470412658384554,192.55339805825244,32.479775956479955,68.2135922330097,44.80998017455331,35.38834951456311,39.45517014499822,0.0,0.0,0.0,0.0,22.734249394683577,29.94489432608766
runs\compact_context_seen_s1,context,seen,1,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",artifacts\calibration\recommended_thresholds_patch.json,1.9799491167068484,2.6755370706319845,106.0,167.35294799999997,61.26619020340459,187.9811320754717,42.63644341731176,64.24528301886792,47.01424532258782,34.12264150943396,39.75177811660964,0.0,0.0,0.0,0.0,22.083027853215064,29.90499556188773
runs\compact_context_seen_s2,context,seen,2,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",artifacts\calibration\recommended_thresholds_patch.json,1.9799491167068484,2.6755370706319845,101.0,174.39750067326733,54.15956248045134,196.47524752475246,19.742641190785967,64.96039603960396,46.562628961878694,34.92079207920792,40.302774884197945,0.0,0.0,0.0,0.0,22.309834227027853,30.978082604719802
runs\compact_context_unseen_s0,context,unseen,0,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",artifacts\calibration\recommended_thresholds_patch.json,1.9607515096664432,2.707141721248626,103.0,169.61627123300974,55.940928587597895,194.0873786407767,28.96824048482403,72.87378640776699,44.08696388437478,35.87378640776699,37.13348460163432,0.0,0.0,0.0,0.0,23.098740248599096,29.006699322503547
runs\compact_context_unseen_s1,context,unseen,1,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",artifacts\calibration\recommended_thresholds_patch.json,1.9607515096664432,2.707141721248626,105.0,168.17760174285712,60.77808400181366,189.97142857142856,39.26131809938503,68.62857142857143,45.41205726516853,33.75238095238095,38.18396284194476,0.0,0.0,0.0,0.0,22.174468175138742,29.167957883025565
runs\compact_context_unseen_s2,context,unseen,2,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",artifacts\calibration\recommended_thresholds_patch.json,1.9607515096664432,2.707141721248626,108.0,161.8677593981481,67.29509293563916,183.8148148148148,50.75783593999237,66.82407407407408,45.42691135038331,32.4537037037037,38.60182172333303,0.0,0.0,0.0,0.0,22.151840524927334,30.152619019746194
runs\compact_full_seen_s0,full,seen,0,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",artifacts\calibration\recommended_thresholds_patch.json,1.9799491167068484,2.6755370706319845,141.0,67.39336929787234,40.46701812834857,141.29078014184398,79.95298073663511,27.45390070921986,17.04593591165814,8.48936170212766,7.2295198628130555,27.45390070921986,17.04593591165814,0.6182879272377206,0.13271916138944412,4.006980521873376,2.78551628600011
runs\compact_full_seen_s1,full,seen,1,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",artifacts\calibration\recommended_thresholds_patch.json,1.9799491167068484,2.6755370706319845,155.0,63.95093647741937,40.82130008754634,128.52903225806452,79.01079243043931,24.24516129032258,15.638506395401425,6.264516129032258,4.537115937529293,24.24516129032258,15.638506395401425,0.5897027991474337,0.15079498019387721,3.4035806197562493,2.0332620518591344
runs\compact_full_seen_s2,full,seen,2,"['low', 'calm', 'clean']","['low', 'calm', 'clean']",artifacts\calibration\recommended_thresholds_patch.json,1.9799491167068484,2.6755370706319845,145.0,72.93558651034483,47.789908276945496,137.1793103448276,74.46621800871233,25.510344827586206,13.975731565715437,7.841379310344828,6.02734032701195,25.510344827586206,13.975731565715437,0.5740122336765661,0.1367475811049815,3.7370605288415084,2.2977099839415698
runs\compact_full_unseen_s0,full,unseen,0,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",artifacts\calibration\recommended_thresholds_patch.json,1.9607515096664432,2.707141721248626,149.0,68.39122517449665,46.3956928424759,133.8724832214765,79.31925642877376,25.543624161073826,17.01489141957576,8.093959731543624,7.286921162287576,25.543624161073826,17.01489141957576,0.567949595666276,0.1483323252080543,3.989231783415646,3.027451448059729
runs\compact_full_unseen_s1,full,unseen,1,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",artifacts\calibration\recommended_thresholds_patch.json,1.9607515096664432,2.707141721248626,135.0,74.81855059259257,42.607921127653455,146.94074074074075,72.75226446318929,28.674074074074074,14.15417750138597,6.6,4.4841345526831775,28.674074074074074,14.15417750138597,0.5640491751565315,0.16367772373762843,3.843007453099443,1.967632824389475
runs\compact_full_unseen_s2,full,unseen,2,"['high', 'aggr', 'noisy']","['high', 'aggr', 'noisy']",artifacts\calibration\recommended_thresholds_patch.json,1.9607515096664432,2.707141721248626,137.0,67.62310030656934,39.263254774032454,145.1021897810219,75.60289878035847,30.16788321167883,16.57849836343027,8.328467153284672,5.61524905038149,30.16788321167883,16.57849836343027,0.6029148309159663,0.11579871656832741,4.21088075229286,2.3197418487383437
