method,regime,n_runs,episodes_mean,episodes_std,r_mean_mean,r_mean_std,l_mean_mean,l_mean_std,violation_count_mean_mean,violation_count_mean_std,near_miss_count_mean_mean,near_miss_count_mean_std,shield_count_mean_mean,shield_count_mean_std,action_correction_mean_mean_mean,action_correction_mean_mean_std,reward_penalty_sum_mean_mean,reward_penalty_sum_mean_std
adjust_speed_only,stationary,3,113.0,4.58257569495584,172.25567591276027,5.612254600086318,176.6856395917098,7.036323119380282,112.5360437908642,4.333794301177193,0.2973478537737595,0.34972983687967923,0.0,0.0,0.5371373082427745,0.017242015766014716,0.0,0.0
adjust_speed_only,nonstationary_seen,3,109.33333333333333,3.511884584284246,178.13174879549842,8.980775818850049,182.1609191264515,5.822377409905785,119.77775590621542,8.761679445213906,1.114620688387426,1.6982153095773966,0.0,0.0,0.5570466475979373,0.03188490064898915,0.0,0.0
adjust_speed_only,nonstationary_unseen,3,112.0,5.5677643628300215,157.49818032766265,10.01106506678097,177.58051322961992,8.649499188548718,105.33575324942832,8.339088793737323,0.5924275226328991,0.3732964065993692,0.0,0.0,0.5482281308655552,0.010011671695760348,0.0,0.0
lilac_context,stationary,3,104.33333333333333,2.3094010767585034,164.86853639823974,14.621698198592119,190.9110486041799,5.027455242005107,57.89943441309017,2.2680267066617823,31.43510873181502,0.4904575179694906,0.0,0.0,0.0,0.0,20.447422618026,0.319326381256258
lilac_context,nonstationary_seen,3,105.66666666666667,2.081665999466133,162.6880787685626,4.957294118247377,188.21475376475374,3.862628647691913,60.63493080993081,2.827661136912325,13.810242843576177,0.9738963436592826,0.0,0.0,0.0,0.0,20.73441487302416,0.8382965268531375
lilac_context,nonstationary_unseen,3,104.0,1.7320508075688772,160.4905272984127,3.9187347627858573,191.3627450980392,3.233477426572566,59.36293183940243,2.803954117588726,12.499066293183938,0.38249854435495395,0.0,0.0,0.0,0.0,20.70619914995935,0.9522639845247048
lilac_speed,stationary,3,109.66666666666667,4.041451884327381,153.1159864900665,31.244119117325642,181.98361317869714,7.376818950291859,118.19458742927945,35.32937044358452,2.5671502337865317,4.339822458406448,0.0,0.0,0.4224184194308569,0.00967386442481476,0.0,0.0
lilac_speed,nonstationary_seen,3,113.0,7.0,162.74428697372716,23.22068194861999,176.43635343332312,9.996271642685295,114.85608101214162,26.02575584458506,3.041082542597694,2.817611348323697,0.0,0.0,0.46801561044003154,0.02222587750466129,0.0,0.0
lilac_speed,nonstationary_unseen,3,106.33333333333333,1.5275252316519468,157.8461436905378,16.780866438436274,187.31921899437623,2.3387710265931583,132.34912814881366,5.72363188301785,2.724839439619314,1.536554567879794,0.0,0.0,0.5151526045708669,0.0436059379345524,0.0,0.0
lilac_soft2hard,stationary,3,137.33333333333334,14.468356276140472,44.391441171068514,8.259240245419928,145.69864406426905,14.067022218458533,121.93352688977689,16.763339009410593,106.71698822011324,17.946548378197285,121.93352688977689,16.763339009410593,0.6789644780851916,0.03832172860640512,0.0,0.0
lilac_soft2hard,nonstationary_seen,3,191.33333333333334,93.62869930386374,35.22744571262769,12.124799324424142,119.3480655788785,46.29884799442589,101.23332775742155,36.92355488528868,42.65092673192732,12.465759215182816,101.23332775742155,36.92355488528868,0.8461888749668685,0.25962283227876876,0.0,0.0
lilac_soft2hard,nonstationary_unseen,3,173.0,48.53864439804639,32.015435293461515,5.114342358082801,120.53658153034324,29.31466610542088,108.59731680255697,24.830596013903516,45.96305067359341,9.252795684765685,108.59731680255697,24.830596013903516,0.8143286597516605,0.07932691674978064,0.0,0.0
